Continent,sum,mean,A,B
Africa,1820811,62786.58620689655,303468.5,10464.431034482759
Asia,24425891,678496.9722222222,4070981.8333333335,113082.82870370371
Europe,19139380,517280.54054054053,3189896.6666666665,86213.42342342342
North America,18238447,1658040.6363636365,3039741.1666666665,276340.1060606061
Oceania,1662727,554242.3333333334,277121.1666666667,92373.72222222223
South America,4141217,460135.22222222225,690202.8333333334,76689.20370370371
